chapter	index	label	layout	image_path	prompt_path	title	center	items
01	01	fig:ch01-01	radial	assets/generated_figures/ch01/fig-ch01-01.png	imagegen_prompts/ch01/fig-ch01-01.md	第01章の全体地図	ソフトウェア要求	基礎 / 要求獲得 / 要求分析 / 要求仕様化 / 要求妥当性確認 / 要求管理 / 実務上の考慮 / 要求ツール
01	02	fig:ch01-02	stack	assets/generated_figures/ch01/fig-ch01-02.png	imagegen_prompts/ch01/fig-ch01-02.md	要求分類の階層図	ソフトウェア要求	ソフトウェア製品要求 / ソフトウェアプロジェクト要求 / 機能要求 / 非機能要求 / 技術制約 / サービス品質制約
01	03	fig:ch01-03	cards	assets/generated_figures/ch01/fig-ch01-03.png	imagegen_prompts/ch01/fig-ch01-03.md	完全技術フィルタの判定フロー	候補要求	理想的なコンピュータでも必要か？ / 機能要求 / 非機能要求 / 特定技術名を指定するか？ / 技術制約 / サービス品質制約
01	04	fig:ch01-04	cards	assets/generated_figures/ch01/fig-ch01-04.png	imagegen_prompts/ch01/fig-ch01-04.md	システム要求からソフトウェア要求への割当図	システム	ハードウェア / ソフトウェア / 人 / 手順 / 設備 / システム要求 / ソフトウェア要求
01	05	fig:ch01-05	flow	assets/generated_figures/ch01/fig-ch01-05.png	imagegen_prompts/ch01/fig-ch01-05.md	要求開発と要求管理の活動図	要求開発	獲得 / 分析 / 仕様化 / 妥当性確認 / 要求管理 / 要求整理 / 変更管理 / 範囲調整
01	06	fig:ch01-06	matrix	assets/generated_figures/ch01/fig-ch01-06.png	imagegen_prompts/ch01/fig-ch01-06.md	要求の源泉と獲得技法の対応図	利用者	業務専門家 / 運用担当 / 既存文書 / 既存システム / 規制・標準 / 面接 / 観察 / ワークショップ
01	07	fig:ch01-07	cards	assets/generated_figures/ch01/fig-ch01-07.png	imagegen_prompts/ch01/fig-ch01-07.md	サービス品質制約の価値・費用曲線	性能水準	価値 / 失敗点 / 完全点 / 金額 / 最も費用対効果が高い水準
01	08	fig:ch01-08	cards	assets/generated_figures/ch01/fig-ch01-08.png	imagegen_prompts/ch01/fig-ch01-08.md	要求仕様化技法の比較図	曖昧さが残りやすい	精密 / 作成が容易 / 作成が難しい / 非構造化自然言語 / 構造化自然言語 / 受け入れ基準 / モデル / 形式モデル
01	09	fig:ch01-09	matrix	assets/generated_figures/ch01/fig-ch01-09.png	imagegen_prompts/ch01/fig-ch01-09.md	要求妥当性確認の三手法を比較する図	レビュー	シミュレーション・実行 / プロトタイプ / 向いている対象 / 強み / 注意点
01	10	fig:ch01-10	flow	assets/generated_figures/ch01/fig-ch01-10.png	imagegen_prompts/ch01/fig-ch01-10.md	要求変更管理の流れ	変更要求	影響分析 / 判断 / 通知 / 実施 / 完了確認 / 承認 / 却下 / 保留
